region,value
Australia,49
Australia,49
Australia,0.006478621
Australia,0.000463603
Australia,0.002785011
Australia,0.030392269
Australia,222
Australia,80
Australia,80
Australia,173
Australia,191
Australia,182
Australia,102
Australia,413
Australia,0.034232352
Australia,0.005384222
Australia,0.017083243
Australia,0.156121373
Australia,784
Australia,951
Australia,1133
Australia,371
Australia,759
Australia,2145
Australia,1012
Australia,1543
Australia,0.198061869
Australia,0.032180339
Australia,0.042653665
Australia,0.152026013
Australia,2211
Australia,701
Australia,2846
Australia,668
Australia,1208
Australia,3922
Australia,1076
Australia,3419
Australia,40
Australia,436
Australia,0.255824059
Australia,0.060760558
Australia,0.423676342
Australia,61.09388733
Australia,665.9233398
Australia,5222
Australia,1802
Australia,5724
Australia,1803
Australia,0.089387603
Australia,0.163652301
Australia,8601
Australia,2877
Australia,11505
Australia,6283
Australia,251
Australia,1679
Australia,1.223801017
Australia,1.05280447
Australia,350
Australia,1950
Australia,5238
Australia,16743
Australia,1700
Australia,10301
Australia,0.221504211
Australia,0.391047835
Australia,13701
Australia,3400
Australia,34043
Australia,17300
Australia,351
Australia,1951
Australia,2.822305918
Belgium,2
Belgium,7
Belgium,3
Belgium,0.011647627
Belgium,0.001343549
Belgium,0.014577259
Belgium,0.01040567
Belgium,0.006394563
Belgium,0.001311052
Belgium,62
Belgium,35
Belgium,61
Belgium,9
Belgium,26
Belgium,323
Belgium,16
Belgium,281
Belgium,79
Belgium,0.006444643
Belgium,0.05190393
Belgium,0.012868608
Belgium,0.043619361
Belgium,0.004007159
Belgium,0.011911457
Belgium,0.010922993
Belgium,3
Belgium,25
Belgium,6
Belgium,1
Belgium,7
Belgium,265
Belgium,3
Belgium,0.012129257
Belgium,0.004723047
Belgium,0.525199652
Belgium,0.052505467
Belgium,0.26092121
Belgium,0.021507714
Belgium,330
Belgium,1007
Belgium,263
Belgium,826
Belgium,347
Belgium,590
Belgium,1205
Belgium,60
Belgium,613
Belgium,430
Belgium,0.032607846
Belgium,0.138458848
Belgium,0.067059249
Belgium,0.216324493
Belgium,0.004771159
Belgium,0.012258446
Belgium,3
Belgium,108
Belgium,7
Belgium,47
Belgium,331
Belgium,55
Belgium,559
Belgium,11
Belgium,99
Belgium,1
Belgium,32
Belgium,7
Belgium,3
Belgium,0.16035153
Belgium,0.012339585
Belgium,0.262008727
Belgium,0.007499848
Belgium,0.198484302
Belgium,0.079251841
Belgium,0.43483752
Belgium,0.067114398
Belgium,521
Belgium,1448
Belgium,652
Belgium,2196
Belgium,1544
Belgium,3831
Belgium,3308
Belgium,2170
Belgium,1685
Belgium,574
Belgium,0.126091912
Belgium,0.769359708
Belgium,0.084308363
Belgium,0.115963779
Belgium,0.008198512
Belgium,0.370920926
Belgium,7
Belgium,80
Belgium,68
Belgium,12
Belgium,77
Belgium,1335
Belgium,110
Belgium,1485
Belgium,13
Belgium,144
Belgium,108
Belgium,1
Belgium,7
Belgium,0.538363993
Belgium,0.010246951
Belgium,0.009029239
Belgium,0.218725324
Belgium,0.097346433
Belgium,0.284105241
Belgium,1.745258331
Belgium,690
Belgium,2292
Belgium,1
Belgium,7124
Belgium,5186
Belgium,11096
Belgium,22974
Belgium,7524
Belgium,11651
Belgium,4
Belgium,1
Belgium,3040
Belgium,776
Belgium,2.688036442
Belgium,0.525918245
Belgium,0.105261028
Belgium,0.16754584
Belgium,0.009676351
Belgium,0.733142436
Belgium,0.233644858
Belgium,10
Belgium,2
Belgium,128
Belgium,127
Belgium,14
Belgium,222
Belgium,1493
Belgium,242
Belgium,2716
Belgium,17
Belgium,265
Belgium,145
Belgium,1
Belgium,21
Belgium,14
Belgium,1.321363449
Belgium,0.935977161
Belgium,0.008881783
Belgium,0.011762745
Belgium,0.342588782
Belgium,0.133259729
Belgium,0.746190667
Belgium,2.475838423
Belgium,1019
Belgium,4168
Belgium,2
Belgium,7
